frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,Less than $5,7,4,2,4,5,5,2,1,3,2,Chicken,Commuter,No,Female,Freshman,OTH,1,0,1,1,1,0,0,0,0,607
1 to 2 times,Light user,Less than $5,1,5,1,3,3,3,1,4,3,2,Chicken,Off-Campus,No,Female,Freshman,ARTSC,1,0,0,0,0,0,1,0,0,608
1 to 2 times,Light user,$5 to $9,6,3,3,5,3,4,2,5,3,5,Chicken,On-Campus,Yes,Female,Freshman,ARTSC,0,0,1,0,1,0,1,0,1,609
1 to 2 times,Light user,$5 to $9,7,4,2,3,3,4,2,4,3,3,Chicken,Off-Campus,No,Female,Senior,EDUC,1,0,0,0,1,0,1,0,0,610
1 to 2 times,Light user,$10 or more,6,3,2,4,4,4,1,4,2,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,0,0,1,1,1,0,1,0,1,611
1 to 2 times,Light user,$10 or more,6,4,4,4,5,4,3,4,3,5,Burgers,On-Campus,Yes,Female,Junior,ARTSC,1,1,1,1,1,0,1,0,1,612
1 to 2 times,Light user,$10 or more,4,5,2,4,4,3,3,4,3,3,Other,On-Campus,Yes,Female,Freshman,OTH,1,0,1,1,0,0,1,0,0,613
1 to 2 times,Light user,$10 or more,3,4,3,5,3,4,5,5,4,3,Burgers,Off-Campus,No,Male,Senior,BUSN,1,0,1,0,1,1,1,1,0,614
0 times,Non-user,$5 to $9,1,4,3,5,3,3,5,4,2,4,Mexican,On-Campus,Yes,Female,Junior,ARTSC,1,0,1,0,0,1,1,0,1,615
3 to 5 times,Heavy User,$10 or more,7,4,4,5,2,1,4,4,2,5,Mexican,Commuter,No,Female,Senior,ARTSC,1,1,1,0,0,1,1,0,1,616
1 to 2 times,Light user,$10 or more,1,4,2,4,4,4,2,4,4,2,Burgers,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,1,1,0,1,1,0,617
1 to 2 times,Light user,$5 to $9,2,5,3,5,4,4,4,4,3,3,Mexican,Off-Campus,Yes,Female,Junior,EDUC,1,0,1,1,1,1,1,0,0,618
1 to 2 times,Light user,$5 to $9,5,4,3,4,3,3,2,4,3,3,Chicken,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,0,1,0,0,619
1 to 2 times,Light user,$5 to $9,6,3,4,4,3,3,5,2,4,3,Chicken,Off-Campus,No,Male,Senior,BUSN,0,1,1,0,0,1,0,1,0,620
